Company Name,Address,Phone Number,Latitude,Longitude,Google Place ID,Review Summary,Average Rating,Review Texts,Business Website,Business Status
Krebs AG,"Seestrasse 15, 8330 Pfaffikon ZH, Pfaffikon, Zurich, Switzerland",+41 44 952 13 13,47.36666049999999,8.7820241,ChIJjQuR6Iq8mkcRrJvwtA60SQo,5 reviews,4.8,"We commissioned an electrical installation from Krebs AG. The work was carried out professionally an; I recently bought a new raclette oven from them, which works perfectly and is very stylish.
I have t; Completely satisfied with the work! Very friendly fitter.; They are just super nice, good advice in the store.; On time, professional and nice.",http://www.krebsag.ch/,OPERATIONAL
Electricite G. Bugnard SA,"Rue de l'Etang 8, 1630 Bulle, Bulle, Fribourg, Switzerland",+41 26 927 30 35,46.6256657,7.068511999999999,ChIJHaMH4GdijkcRzK8512QmzjQ,No reviews,0.0,,https://www.bugnard-electricite.ch/fr/qui-sommes-nous/contact/,OPERATIONAL
Rosenast Haustechnik AG,"Wangenriedstrasse 2, 3380 Wangen an der Aare, Wangen an der Aare, Bern, Switzerland",+41 32 631 25 70,47.2274172,7.6530697,ChIJSSoyVYPVkUcRatQoqLaNJ6Y,5 reviews,5.0,"I had everything done by Rosenast. From renovation to repairing defects. Always did a great job. Hea; We recommend! Helpful and competent.
After 3 unsuccessful inquiries with a rather unusual request fr; Very competent and professional. Very well satisfied.; Very good work at great conditions. Gladly again!; Very competent and also very helpful, I can highly recommend",http://rosenast-haustechnik.ch/,OPERATIONAL
Sasol AG,"Untere Bruhlstrasse 21 4800 Zofingen, Zofingen, Aargau, Switzerland",+41 62 745 50 50,47.2934754,7.931209099999999,ChIJxf6uIoIvkEcRZowYWvWzUs8,2 reviews,3.0,,http://www.sasol.ch/,OPERATIONAL
Stromwerk,"Thurgauerstrasse 66, Postfach 135, 8050 Zurich, Zurich, Zurich, Switzerland",+41 44 3066444,47.4164867,8.554258899999999,ChIJGyKXEZ0KkEcRRbQbd8q4O8I,No reviews,0.0,,http://www.stromwerk.ch/,OPERATIONAL
Clavien Fabrice Sarl,"Route de la Comba 12, 3972 Miege, Bourg-Saint-Pierre, Valais, Switzerland",+41 27 456 46 81,46.3151804,7.5474131,ChIJpU73i-Uej0cRDRIXdS1VjvY,3 reviews,5.0,"Very good company that gives very good advice. Always ready to serve you, super friendly and above a",No website available,OPERATIONAL
Schweizer Solaire,"Rte des Genevreys 47, 1564 Domdidier, Domdidier, Fribourg, Switzerland",+41 26 675 11 58/70,46.8620832,7.0221855,ChIJ24-Zr8pzjkcRCUIOSh3GaT0,5 reviews,4.2,"When I observe the competition's panel installers at my neighbors' houses (I have a view of the enti; A serious and very professional company, attentive to all our questions. The work was done quickly a; Work carried out in a professional and high quality manner.",http://www.schweizersolaire.ch/,OPERATIONAL
Edisun Power Europe Ltd.,"Universitatstr. 51, 8006 Zurich, Zurich, Zurich, Switzerland",+41 44 266 61 20,47.38862289999999,8.5439931,ChIJF2wtK6GgmkcR0s-46Y0QyYA,No reviews,0.0,,http://www.edisunpower.com/,OPERATIONAL
Tritec,"Herrenweg 60, 4123 Allschwil, Basel, Basel, Basel-Stadt, Switzerland",+41 32 6653535,47.54437739999999,7.5517434,ChIJIybagtK7kUcRcJxF4_1f1RI,2 reviews,5.0,,https://www.tritec-energy.com/,OPERATIONAL
Breu AG,"Freiburgstrasse 6, 3150 Schwarzenburg, Schwarzenburg, Bern, Switzerland",+41 31 731 04 51,46.8180282,7.340238299999999,ChIJXeF0MgdEjkcRYOsk9Vni4iA,5 reviews,5.0,Very friendly and competent,https://www.breuag.com/,OPERATIONAL
Kobler Energie AG,"Staatsstrasse 5, 9463 Oberriet, Oberriet, St. Gallen, Switzerland",+41 71 7612611,47.3127348,9.5607101,ChIJ_42T1Fs8m0cRddyiF6P3OPk,5 reviews,4.2,"Very good advice, especially in the area of ​​electrobiology / avoidance of electric and magnetic fi; Thanks to the Kobler Energie team, we produce our own solar power on the roof. The project ran very ; We had a photovoltaic system installed by the company Kobler Energie AG. We are very satisfied with ; We had Kobler Energie redo all the cabling in the house and have a new water-air heat pump installed; My friend had a heat pump installed here. He did not receive any funding, which would be CHF 2800 fr",http://koblerenergie.ch/,OPERATIONAL
E-Solaire,"Rue des Fleurs 36, CH - 2300 La Chaux-de-Fonds, La Chaux-de-Fonds, Neuchatel, Switzerland",+41 78 637 84 34,47.1087385,6.8339389,,No reviews,0.0,,No website available,Status not available
Koutec Sarl,"Le Borbet 37, 2950 Courgenay, Courgenay, Jura, Switzerland",+41 32 471 17 19,47.4020016,7.1165825,ChIJs08oKLTwkUcRJswiRrrDigQ,5 reviews,5.0,"Very professional and serious company, quality work within a respected deadline, attractive price an; Local company that carries out the work conscientiously, both the workers and the boss. The administ; Perfectly executed job. Very professional and also close. To recommend; Marc, the boss, is a very open and customer-oriented person. His proposals during our exchanges are ; 100/% satisfaction. Serious. Really recommendable!",http://www.koutec.com/,OPERATIONAL
EW Hofe AG,"Schwerzistrasse 37, Postfach 8807 Freienbach, Freienbach, Schwyz, Switzerland",+41 55 415 31 11,47.1997418,8.7553354,ChIJU7AyDWexmkcRDwM41Vy4jmo,5 reviews,3.0,"Like you don't charge us enough, that in 2022 the prices go even 7% higher 🤦🤦🤦; Juice shops only look at their own pockets, I would never recommend them. The organization is like a; Very good customer service (friendly, quick, uncomplicated). We have been customers with the Interne; We recently moved to the EW Höfe area and received a great service for connecting to the fiber optic; Fiber optic interbet + TV box new and both work much worse than before",https://ew-hoefe.digitalone.site/,OPERATIONAL
Pulver Dawa Partner AG,"Urtenenstrasse 50, 3322 Mattstetten, Mattstetten, Bern, Switzerland",+41 31 852 15 45,47.0302908,7.5108493,ChIJ01EFID4wjkcRLlbPKulr5TY,5 reviews,5.0,"Very competent roofing company in Mattstetten. Whether flat roof, pitched roof, plumber work or sola; Competent business: Specialists in building envelopes, roofing, plumbing and solar systems; I work for this company and I am very satisfied.; Very good company; uncomplicated, fast, clean",https://www.pulverdawa.ch/,OPERATIONAL
Bau Fair GmbH,"Niederhofen 19, 8363 Bichelsee, Bichelsee-Balterswil, Thurgau, Switzerland",+41 71 970 06 35,47.4561976,8.9092802,ChIJmZxWuqqVmkcRDxIYfct4mlw,1 reviews,5.0,"Extremely reliable, professional, works very precisely & always one step ahead. We are very happy to",http://www.bau-fair.ch/,OPERATIONAL
Elektro-Telecom Rolf Niklaus,"Dorfstrasse 26, 9122 Mogelsberg, Mogelsberg, St. Gallen, Switzerland",+41 71 3742150,47.36297159999999,9.1360867,ChIJ0WVLqyndmkcRryKCyoj28UA,5 reviews,4.6,"Comes quickly, solution found.; Highly recommended!",http://www.niklaus-elektro.ch/,OPERATIONAL
Georg Egli AG,"Hauptstrass 6 7240 Kublis, Kublis, Grisons, Switzerland",+41 81 300 3000,46.9133304,9.769893999999999,ChIJnxV3WtOvhEcRrK6iqDzc0r8,5 reviews,5.0,"Competent and excellent service provider. Top!; Competent, friendly and inexpensive",http://www.georg-egli.ch/,OPERATIONAL
Eniwa AG,"Industriestrasse 25, CH-5033 Buchs, Buchs, Aargau, Switzerland",+41 62 835 00 10,47.3932575,8.0645275,ChIJuxwwWO47kEcRLfE873VUtdc,5 reviews,1.0,"Activation of swisscom box costed me 172.30CHF.  I recommend to pay a local electrician to do this. ; !! Not recommendable !! Unacceptable service. We have agreed on a PV system with an electric car cha; I called once and sent an email once due to a tenant change (meter reading). That was at the beginni; Installing a lamp in a private home? No problem, right? Apparently at Eniwa AG it is. After the tech; The employee responsible for reading the meter was unfriendly. She unexpectedly interrupted an impor",https://www.eniwa.ch/,OPERATIONAL
Schnyder Bedachungen / Fassadenbau AG,"Industriestrasse 2, 8808 Pfaffikon/SZ, Pfaffikon, Schwyz, Switzerland",+41 55 416 16 20,47.2024443,8.793896499999999,ChIJYQWogbC2mkcR6L1scS7nXTc,5 reviews,4.0,,https://www.schnyder-bedachungen.ch/,OPERATIONAL
SoloSolar GmbH,"Turliackerstrasse 15 8304 Wallisellen (Zurich), Wallisellen, Zurich, Switzerland",+41 44 830 50 50,47.4207186,8.6013869,ChIJkxjjcUqgmkcR68SQcoMRQM8,5 reviews,5.0,"The installation of my solar system went smoothly and efficiently. The team was on time, well organi; Best advice, perfect implementation. Above all, there were no delays and the photovoltaic system was; The collaboration with the Solosolar company was very pleasing. The installation was completed to ou; We were very satisfied with the advice, offer, punctual and clean performance, coordination of mater; Very friendly team! From advice to coordination, schedule, installation and final consultation, alwa",http://www.solosolar.ch/,OPERATIONAL
Urs Spirig,"Mitteldorfstrasse 19 9444 Diepoldsau, Diepoldsau, St. Gallen, Switzerland",+41 71 733 12 74,47.3834805,9.655556599999999,ChIJNeED_bgVm0cREFe_mmnQBSI,1 reviews,5.0,,http://www.urs-spirig.ch/,OPERATIONAL
Flavio Togni SA,"Strada da Pambi, 7, Lugano, Ticino, Switzerland",+41919865130,45.9866587,8.9348511,ChIJt2lJgqYthEcR1xVXAe5na9o,4 reviews,3.75,"Excellent service and availability from the team.; Serious company, excellent team. Professional and competent people.",No website available,OPERATIONAL
Soleol SA,"Chemin des Marais 1, 1470 Estavayer-le-lac, Estavayer-le-Lac, Fribourg, Switzerland",+41 26 664 88 00,46.8401988,6.848843899999999,ChIJKcOqJP91jkcR3rnw6xLqp4Q,5 reviews,3.6,"Excellent service

The most suitable offer with real advice

I highly recommend Soléol; Bad advice from the seller resulting in an undersized installation without optimizers.

Followed by ; After-sales service works via a form, it is impossible to do it by telephone. And there is a reason:; After-sales service through a form which is very unpleasant. This needs to be improved. After-sales ; Professional company, attentive to the customer. A team of experienced and pleasant fitters. That's ",No website available,OPERATIONAL
Briner AG,"Postfach 3288, 8404 Winterthur, Winterthur, Zurich, Switzerland",+41 52 234 21 21,47.5234114,8.7531994,ChIJS1KIK-2ZmkcRe3Xxyhsgs1s,5 reviews,3.6,"I needed to seek help and advice about a plumbing problem. Thank you for your kindness, your smiles ; It's the year 2023, but when you enter Briner AG Winterthur, time has stopped somewhere between unmo; Arrived for an unloading of 8 tubes of 12 meters each for 22 t very friendly staff really very good ; Super advice and competent help that was very helpful for me and through which my issue could be sol; Long waiting times, although the store was empty, unfriendly staff! Never again!",http://www.brinerag.ch/,OPERATIONAL
Gebr. Willi Elektro AG,"Oberdorfstrasse 6, 9562 Buch b. Marwil, Buch bei Marwil, Thurgau, Switzerland",+41 71 655 15 15,47.5373971,9.055758899999999,ChIJq6qqqs7tmkcRZYhZ-tIffwo,5 reviews,5.0,"top; Great team!
Top advice, very good specialist knowledge and a lot of willingness to find solutions, e; Super Service! Absolutely reliable.; Reliable, friendly staff who do impeccable work.; Excellent teaching company",http://www.willi-elektro.ch/,OPERATIONAL
Respect S.a.r.l,"Grande Rue 1, 1176 St-Livres, St-Livres, Vaud, Switzerland",+41 79 561.56.28,46.5066391,6.385829800000001,ChIJKS5kj4lIjEcRCWumAq4A3YI,2 reviews,5.0,,http://www.respect-energies.ch/,OPERATIONAL
MG Electricite Sarl,"Avenue de la Gare 8, 1964 Conthey, Conthey, Valais, Switzerland",+41 848 111 222,46.21795909999999,7.304592599999999,ChIJ32CWZ-DFjkcRTBNssz4mtuk,1 reviews,5.0,,No website available,CLOSED_PERMANENTLY
Stuber Spenglerei Luftungs AG,"Durrenascherstrasse 10, 5723 Teufenthal AG, Teufenthal, Aargau, Switzerland",+41 62 768 70 10,47.32618799999999,8.124092,ChIJra10FU89kEcR9Yz80SlwVE0,5 reviews,5.0,"With the company Stuber Spenglerei we have realized our photovoltaic system.
We have created what is; Super fitters, a competent team with a lot of experience. The handling is very pleasant.; Very flexible and hardworking staff, very professional and reliable. I recommend this company; Good company for special ventilation ducts,
Plumbing work & flat roofing.; Committed and competent",http://www.stuberlueftungen.ch/,OPERATIONAL
Solalpes Energie SA,"Route de Chippis 71, 3966 Chalais, Chalais, Valais, Switzerland",+41 27 458 24 90,46.2741829,7.5244637,ChIJq0eQL3kfj0cRnKV8AwpAvmk,2 reviews,5.0,,http://www.solalpes-energie.ch/,OPERATIONAL
DransEnergie,"Route de l’Usine 9 - 1937 Orsieres, Orsieres, Valais, Switzerland",+41 27 782 63 10,46.0216192,7.1424233,ChIJlSe2iTTNjkcR5klS524iWts,5 reviews,4.6,"power plant moderna in edifici ristrutturati

modern power station in renovated buildings

modern po; Long live renewable energy",https://www.dransenergie.ch/,OPERATIONAL
Aellig+Kalin AG,"Bierigutstrasse 22, 3608 Thun, Thun, Bern, Switzerland",+41 33 676 08 08,46.7406181,7.601422899999998,ChIJ_cmPiRSpj0cRmUxUyPiVwJ8,5 reviews,4.8,Young innovative company. We were already allowed to create several objects together. Aellig + Kälin,No website available,OPERATIONAL
Solar -und Sicherheitstechnik,"Haumuhlestrasse 2, CH - 8424 Embrach, Embrach, Zurich, Switzerland",+41 44 8651158,47.5186278,8.5870797,ChIJQfO90gGemkcR0lSVqdmRc0Y,No reviews,0.0,,http://www.solar-gmbh.ch/,OPERATIONAL
Primus Solar Technologies Sarl,"Av. de Rhodanie 48 CH-1007 Lausanne, Lausanne, Vaud, Switzerland",N/A,46.5142911,6.612066899999999,ChIJxe5M26bBn0cRBwcNTcJxi3c,5 reviews,5.0,"We came across the company Primus Energie from Regensburg because they are currently building some p; We read the area application for photovoltaics from Primus Energie from Regensburg in the Bavarian w; We had other lease offers for a photovoltaic area, but only one buyer came forward. At Primus Energi; The lease negotiations between our community of owners and the project manager at Primus Energie wer; Hello Primus team, nice that our photovoltaic project is progressing so well! The public presentatio",http://www.primus-energie.de/,OPERATIONAL
Sonnentanz GmbH,"Kopfli 321, 5054 Kirchleerau, Kirchleerau, Aargau, Switzerland",+41 62 726 12 57,47.2822198,8.0609706,ChIJt5jSbKgjkEcRGbMzC0Y2KsE,3 reviews,5.0,"Good advice, pleasant and professional employees and very high quality work",http://www.sonnentanz.ch/,OPERATIONAL
Paul Gisler AG,"Alte Steinhauserstrasse 32, CH-6330 Cham, Cham, Zug, Switzerland",+41 41 748 50 30,47.1906009,8.4738182,ChIJlYcWP5cAkEcRxu5N9MahK48,5 reviews,5.0,"Tip top alless.; From the first telephone contact to the completion of the work, the employees at Paul Gisler AG were; People could be a little more motivated to say hello.; Super top; Super Service",http://www.paulgislerag.ch/,OPERATIONAL
Ammann Solar AG,"Neuensteigweg 16 9424 Rheineck (SG), Rheineck, St. Gallen, Switzerland",+41 71 850 09 30,47.462041,9.5898319,ChIJG_QlN-gQm0cRPJdudLTwOoY,5 reviews,5.0,"Really a very serious and competent specialist!! Super friendly and takes his orders very seriously!; Ammann Solar AG deserves the greatest trust for top advice, performance and service. Highly trained ; A very competent, customer-oriented company that I am very happy to recommend. The customer is very ; Very friendly and competent advice. Roman is always available to answer any questions, thank you ver; Ammann Solar AG

Is definitely your solar partner for competent and clean work.

Friendly scaffolder",http://www.ammann-solar-ag.ch/,OPERATIONAL
Alenso AG,"Dorfhaldenweg 2, 3612 Steffisburg, Steffisburg, Bern, Switzerland",+41 33 438 70 90,46.7678367,7.633696199999999,ChIJBd1oZKVMjkcRq_KHpPHa1e0,No reviews,0.0,,http://www.alenso.ch/,OPERATIONAL
e1 Elektro GmbH,"Kasinostrasse 20, 4410 Liestal, Liestal, Basel-Landschaft, Switzerland",+41 61 544 46 40,47.4820357,7.7475266,ChIJ752BhQPFkUcRMhMFmp9Xjb0,5 reviews,5.0,"A very competent electrician. When building my new apartment, I was able to incorporate my special r; Very competent, friendly electronics shop with very fair prices. Basic installation and all our spec; Very uncomplicated, quick appointments and competent execution of the work. Gladly again!; Young, well-positioned and motivated team. Honest prices with great service. I can highly recommend ; You get really quick answers and solutions. We use the services of Elektr-on for every construction ",http://www.elektr-on.ch/,OPERATIONAL
Spathelf Haustechnik,"Im Langen Loh 245, 4054 Basel, Basel, Basel-Stadt, Switzerland",+41 61 301 71 36,47.5480449,7.560256400000001,ChIJp0f9FeS4kUcRZll0OCu96O4,5 reviews,4.2,"Top service, clean work carried out at a fair price. Appointments were always kept. We can highly re; Fast, competent, friendly. Even if the problem is reported on Friday 15 minutes before the end of th",http://www.spathelfhaustechnik.ch/,OPERATIONAL
Selnet AG,"Hohenrainstrasse 10, 4133 Pratteln, Pratteln, Basel-Landschaft, Switzerland",+41 61 377 60 60,47.5239606,7.6919875,ChIJMdhiSxW2kUcRfWujGEy28U4,5 reviews,5.0,"Excellent photovoltaic system and wallbox installation from Selnet.

I would like to share my extrem; Top company! Installing a wallbox worked very well! Very courteous and friendly technician carried o; Thanks to the competent help, my internet problem was quickly resolved. Even all the measuring devic; Great company, competent electrician, fast response (could come by the same day as I called)!; Very good service and operation. I can especially recommend the house goulash soup!",http://www.selnet.ag/,OPERATIONAL
Elektro AGZ,"Bahnhofstrasse 41, 6460 Altdorf, Altdorf, Uri, Switzerland",+41 41 870 53 35,46.8784496,8.6369337,ChIJS8d_K51DhUcRklaM0ksQXQo,4 reviews,4.75,"High quality work and I feel well advised.

But still has room for improvement.; Everything was fine",http://www.elektroagz.ch/,OPERATIONAL
CKW,"Hirschengraben 33, Postfach, 6002 Luzerne, Lucerne, Luzern, Switzerland",+41 41 2495111,47.0495967,8.3018212,ChIJN3vL1Kf7j0cREuj3HVtTZrs,5 reviews,5.0,"Nice, very competent employee. Even got a used switch part for free. :-); The boss is extremely friendly and the workers are extremely competent👍🏽; Only good experiences and a friendly team.; Very friendly; Electrical services in all areas",https://www.ckw.ch/gebaeudetechnik/elektroinstallationen?utm_source=google&utm_medium=organic&utm_campaign=geschaeftsstelle_luzern,OPERATIONAL
D & G AG,"Freiburgstrasse 490 Postfach 554 CH-3018 Bern, Bern, Bern, Switzerland",+41 31 981 50 00,46.9291462,7.382924600000001,ChIJEf5THFs4jkcRsypnRpuYVWI,3 reviews,5.0,Top Service 👍🏼,http://www.damico-gmbh.ch/,OPERATIONAL
Richtsolar AG,"Bresteneggstrasse 1, CH 5033 Buchs AG, Buchs, Aargau, Switzerland",+41 62 823 30 50,47.3874886,8.088941,ChIJq6pOGBE8kEcRAux8rdkwXos,No reviews,0.0,,No website available,OPERATIONAL
Staub & Zbinden Elektro GmbH,"Fultigenstrasse 1 CH-3088 Rueggisberg, Bern, Bern, Switzerland",+41 31 8093080,46.8203662,7.3653564,ChIJh8AJMDw5jkcRlw4SBO3Z-vo,5 reviews,4.8,"Has good selection of average quality furniture. People are friendly and will explain every detail o; Great diversity, friendly staff, mid priced stuff; Excellent; Super; Very courteous staff, helpful, friendly and when you have ordered something you are greeted by name ",https://www.livique.ch/,OPERATIONAL
Axova AG,"Felsenstrasse 11, 4450 Sissach, Sissach, Basel-Landschaft, Switzerland",+41 800 400 222,47.46248869999999,7.8112653,ChIJIdmKuiY1kEcRQ5oXEb-dVcA,5 reviews,5.0,"Mr. Nico Gysin is friendly, well-positioned and very expert. We can reach him on his business phone ; We were very satisfied with the advice from AXOVA, with the organization, the execution and the qual; In March 2022, the Axova company handed over a PV system to our single-family home in Therwil. The w; The PV system project was carried out perfectly from A to Z. All employees were very motivated, comp; At the beginning of 2020, a solar power system (PV) was installed by Axova at my single-family home ",https://axova.ch/,OPERATIONAL
Altersol S.A.,"Via al Fiume 4, 6930 Bedano, Bedano, Ticino, Switzerland",+41 91 604 61 92,46.0518452,8.9244352,ChIJzaKliSyKqkERc2T1Dcfq-TM,1 reviews,5.0,Great price/quality. Done heat pump and photovoltaic. Always available and friendly. Every question ,https://www.altersol.ch/,OPERATIONAL
Neue Energien May,"Badstrasse 9, CH-4573 Lohn-Ammannsegg, Lohn-Ammannsegg, Solothurn, Switzerland",+41 32 677 0650,47.1741681,7.5334718,ChIJh4Rp-3AojkcRTDaWPJhB0bc,4 reviews,4.75,Top information about newest heating technologies; Installed 6.7Kwp system in 2013 and very satisfied to date!,http://www.neue-energien-may.ch/NEM/Kontakt.html,OPERATIONAL
Kurt Luscher AG,"Pulverhausweg 12, 5033 Buchs, Buchs, Aargau, Switzerland",+41 62 834 50 50,47.396705,8.0680523,ChIJ6bkOD_k7kEcRzZUkQHoTscA,5 reviews,4.0,"Not recommended, agreed appointments are not kept and the responsible PL cannot be reached. The lack; Good electrical shop. Cool staff.; Friendly people.",http://www.kla.ch/,OPERATIONAL
Kabeltechnik Swiss AG,"Wallbach 13, 5107 Schinznach-Dorf, Schinznach-Dorf, Aargau, Switzerland",+41 56 511 02 20,47.4638015,8.1563614,ChIJFY_VqpI_kEcR3RJs8zWElMk,5 reviews,4.2,"Dear Kabeltechnik Swiss AG team,

I had technical problems with the network, after a phone call a te; This specialist partner was suggested by AEW and installed my 11kWp photovoltaic system. Due to bad ; Absolute specialists, you can tell that this company has been in business for a long time. Sustainab",https://www.kabeltechnik.ch/,OPERATIONAL
Greenkey Sagl,"Via Ceresio 45, CH-6963 Pregassona, Lugano, Ticino, Switzerland",+41 91 630 64 91,46.0223538,8.9666909,ChIJIwVjYREyhEcRjoIesUMPjbc,5 reviews,5.0,"They worked well and clean. Fully satisfied. Fast timing despite the amount of work that concerns th; After several evaluations, we decided on Greenkey for our new photovoltaic system. We had a great ti; Professionalism, seriousness, quality of the work carried out. I recommend it to all those who wish ; Competence. Professionalism. Seriousness. Quality of the products offered superior to the market pro; Professionalism, friendliness, punctual, they did an excellent job, I recommend to anyone who wants ",https://www.greenkey.ch/,OPERATIONAL
Gerber Holzbau Bern AG,"Bottigenstrasse 217, 3019 Bern-Oberbottigen, Oberbottigen, Bern, Switzerland",+41 31 926 20 16,46.9360697,7.3611334,ChIJp4vcdSk_jkcRMPLODuCdTVA,5 reviews,3.4,"Regarding GBH's response to Jürg Luginbühl's review: In the discussions that we tried to have before; We can only advise against Gerber Holzbau (which belongs to Zimmermann)! In the KV, positions were f; Great team, happy to come back every year.",http://www.gerber-holzbau.ch/,OPERATIONAL
Meyer & Salamon AG,"Jonenbachstrasse 19, 8911 Rifferswil, Rifferswil, Zurich, Switzerland",+41 44 764 19 03,47.2450602,8.4936834,ChIJ4eCmn8WnmkcRoBTwQcVnhQI,3 reviews,5.0,From my point of view the best horticultural company on the left and right bank of Lake Zurich. The ,http://www.meyer-gartenbau.ch/,OPERATIONAL
Burger AG,"Wahlenstrasse 81, 4242 Laufen, Laufen, Basel-Landschaft, Switzerland",+41 61 766 99 66,47.41428029999999,7.506752,ChIJc_ATR4_FkUcRAeBi2sPBE7I,2 reviews,5.0,,http://www.selmoni-burger.ch/,OPERATIONAL
BTsun SA,"Chemin du peage 9, 1806 Saint-Legier-La Chiesaz, Saint-Legier-La Chiesaz, Vaud, Switzerland",+41 21 552 15 45,46.4746058,6.8909361,ChIJT4EhBqWEjkcRMhtKJDwbLC0,2 reviews,5.0,"Professional work in all phases of the project with constant attention to detail. I can only recomme; ""We are completely satisfied with the work of BTsun. From the first contact Mr. Guler showed a lot o",http://www.btsun.ch/,OPERATIONAL
SolarTec Rheintal GmbH,"Stockenstrasse 25, CH-9464 Lienz, Lienz, St. Gallen, Switzerland",+41 71 511 32 34,47.27827509999999,9.514924,ChIJByao4UI7m0cRsXX3ushx7BQ,No reviews,0.0,,http://www.solartec.ch/,OPERATIONAL
Kohler + Partner Elektro AG,"Churfirstenstrasse 54, Postfach 555, 9501 Wil SG, Wil, St. Gallen, Switzerland",+41 71 913 88 77,47.4563819,9.0460125,ChIJ5702c9DrmkcRLza4HBqsXRA,5 reviews,5.0,great team and top management; Everything was top notch and the staff was very friendly.; A perfect place to train as an electrician; Super Service!; Best electrical shop in Wil,https://www.kohlerundpartner.ch/,OPERATIONAL
Rochat Solar SA,"1806 St-Legier, Saint-Legier-La Chiesaz, Vaud, Switzerland",+41 21 943 73 13,46.4961584,6.9044628,ChIJ7-y-XlaDjkcRnY0idmZDxDQ,No reviews,0.0,,https://www.rochatsolaire.ch/,OPERATIONAL
